step,loss,lm,pred,ent,ponder,eff_iters,tau
20,9.6715,9.5929,0.7118,0.7344,0.0,1.50,0.984
40,8.3132,8.2769,0.3324,0.3108,0.0,1.18,0.968
60,5.7058,5.6798,0.1883,0.7154,0.0,1.41,0.951
80,1.4266,1.4091,0.1056,0.6930,0.0,1.40,0.934
100,0.3844,0.3773,0.0469,0.2410,0.0,1.13,0.917
120,0.2052,0.2023,0.0219,0.0710,0.0,1.06,0.901
140,0.1523,0.1505,0.0163,0.0226,0.0,1.05,0.884
160,0.1525,0.1508,0.0150,0.0144,0.0,1.05,0.867
180,0.1490,0.1476,0.0127,0.0112,0.0,1.05,0.851
200,0.1494,0.1483,0.0107,0.0102,0.0,1.05,0.834
220,0.1476,0.1466,0.0084,0.0085,0.0,1.05,0.818
240,0.1468,0.1461,0.0068,0.0060,0.0,1.04,0.801
260,0.1483,0.1477,0.0054,0.0066,0.0,1.05,0.784
280,0.1459,0.1454,0.0046,0.0060,0.0,1.05,0.767
300,0.1539,0.1534,0.0039,0.0048,0.0,1.05,0.751
320,0.1484,0.1480,0.0036,0.0037,0.0,1.05,0.734
340,0.1414,0.1410,0.0033,0.0034,0.0,1.05,0.718
360,0.1389,0.1386,0.0030,0.0029,0.0,1.04,0.701
380,0.1493,0.1490,0.0027,0.0028,0.0,1.05,0.684
400,0.1477,0.1474,0.0026,0.0024,0.0,1.05,0.667
420,0.1404,0.1401,0.0024,0.0021,0.0,1.05,0.651
440,0.1405,0.1403,0.0025,0.0019,0.0,1.05,0.634
460,0.1353,0.1350,0.0026,0.0017,0.0,1.04,0.617
480,0.1439,0.1436,0.0024,0.0016,0.0,1.05,0.601
500,0.1434,0.1431,0.0024,0.0014,0.0,1.05,0.584
520,0.1427,0.1425,0.0024,0.0013,0.0,1.05,0.568
540,0.1466,0.1463,0.0023,0.0012,0.0,1.05,0.551
560,0.1384,0.1382,0.0024,0.0010,0.0,1.05,0.534
580,0.1466,0.1464,0.0024,0.0009,0.0,1.05,0.518
600,0.1437,0.1435,0.0024,0.0008,0.0,1.05,0.501
620,0.1425,0.1422,0.0024,0.0007,0.0,1.05,0.484
640,0.1358,0.1356,0.0024,0.0006,0.0,1.05,0.468
660,0.1435,0.1433,0.0024,0.0005,0.0,1.05,0.451
680,0.1445,0.1443,0.0024,0.0004,0.0,1.05,0.434
700,0.1591,0.1589,0.0023,0.0004,0.0,1.05,0.418
720,0.1467,0.1464,0.0024,0.0003,0.0,1.05,0.401
740,0.1404,0.1402,0.0024,0.0002,0.0,1.05,0.384
760,0.1456,0.1454,0.0024,0.0002,0.0,1.05,0.368
